,Shake and Bakers,UcanDereklickmyBalls,Mister Robinsons,Hos' Hebdomadal Team,Kittle One Martini,Keep Calm & Kerryon,The Seedy Lambs,Hines 57,Richard's Team,Scott's Team
QB,Kyler Murray,Aaron Rodgers,Taysom Hill,Deshaun Watson,Russell Wilson,Matthew Stafford,Josh Allen,Cam Newton,Ben Roethlisberger,Patrick Mahomes
WR1,Keenan Allen,Justin Jefferson,Davante Adams,Tyler Lockett,DK Metcalf,Robby Anderson,Will Fuller V,Tyreek Hill,Calvin Ridley,Diontae Johnson
WR2,DeAndre Hopkins,Jarvis Landry,Terry McLaurin,Brandin Cooks,Stefon Diggs,A.J. Green,Mike Evans,Cooper Kupp,Darius Slayton,DeVante Parker
RB1,Nick Chubb,Derrick Henry,James Robinson,Alvin Kamara,Antonio Gibson,Dalvin Cook,Aaron Jones,Nyheim Hines,Clyde Edwards-Helaire,Todd Gurley II
RB2,David Montgomery,Leonard Fournette,Brian Hill,Miles Sanders,Austin Ekeler,Ezekiel Elliott,Kareem Hunt,Chris Carson,Boston Scott,Gus Edwards
TE,Hunter Henry,Jordan Reed,Dallas Goedert,Darren Waller,Austin Hooper,T.J. Hockenson,Rob Gronkowski,Travis Kelce,Mike Gesicki,Hayden Hurst
W/R/T,Michael Thomas,Kendall Hinton,Robert Woods,Josh Jacobs,Chris Godwin,Marvin Jones Jr.,Sterling Shepard,A.J. Brown,Evan Engram,Christian Kirk
BN1,Chase Edmonds,Curtis Samuel,Kenyan Drake,JuJu Smith-Schuster,Jonathan Taylor,Antonio Brown,Benny Snell Jr.,Damien Harris,Cam Akers,T.Y. Hilton
BN2,Jimmy Graham,Noah Fant,Duke Johnson,Corey Davis,Kalen Ballage,DJ Chark Jr.,Julio Jones,DJ Moore,Adam Thielen,Kenny Golladay
BN3,Justin Herbert,Mike Williams,Giovani Bernard,Alexander Mattison,Chase Claypool,Devin Singletary,James Conner,Melvin Gordon III,Laviska Shenault Jr.,Allen Lazard
BN4,Amari Cooper,Lamar Jackson,Tyler Boyd,Latavius Murray,Tee Higgins,Mark Andrews,Matt Ryan,Phillip Lindsay,D'Andre Swift,Julian Edelman
BN5,Jamaal Williams,Adrian Peterson,Jonnu Smith,Mike Davis,Jerry Jeudy,Marquise Brown,CeeDee Lamb,Carson Wentz,Jared Goff,Malcolm Brown
BN6,Myles Gaskin,Christian McCaffrey,Allen Robinson II,Tom Brady,J.K. Dobbins,Ronald Jones II,Eric Ebron,Raheem Mostert,Greg Zuerlein,Jared Cook
BN7,Pittsburgh,Sammy Watkins,Zack Moss,Arizona,Justin Tucker,Wayne Gallman Jr.,J.D. McKissic,New England,Los Angeles,Jason Myers
BN8,,,,,,,,,,
K,Jason Sanders,Daniel Carlson,Harrison Butker,Joey Slye,Tyler Bass,Ryan Succop,Younghoe Koo,Wil Lutz,Zane Gonzalez,Rodrigo Blankenship
DEF,Kansas City,Indianapolis,Washington,Miami,Green Bay,Buffalo,Cleveland,New York,New Orleans,Los Angeles
