,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,Kyler Murray,Ryan Tannehill,Justin Herbert,Josh Allen,Tom Brady,Jalen Hurts,Aaron Rodgers,Russell Wilson,Patrick Mahomes,Dak Prescott
WR1,Marquise Brown,Davante Adams,Michael Pittman Jr.,Deebo Samuel,Ja'Marr Chase,Hunter Renfrow,Cooper Kupp,DK Metcalf,Justin Jefferson,Stefon Diggs
WR2,Russell Gage,Keenan Allen,Tyreek Hill,Antonio Brown,DJ Moore,DeAndre Hopkins,A.J. Brown,Christian Kirk,Terry McLaurin,Diontae Johnson
RB1,Joe Mixon,Najee Harris,Jonathan Taylor,Cordarrelle Patterson,Aaron Jones,Austin Ekeler,Rashaad Penny,Saquon Barkley,Dalvin Cook,Ezekiel Elliott
RB2,Clyde Edwards-Helaire,Nick Chubb,David Montgomery,Ronald Jones II,Alvin Kamara,Melvin Gordon III,D'Andre Swift,Antonio Gibson,Eno Benjamin,Michael Carter
TE,Austin Hooper,Dalton Schultz,Mark Andrews,George Kittle,Zach Ertz,Dallas Goedert,Hunter Henry,Kyle Pitts,Rob Gronkowski,Foster Moreau
W/R/T,Chase Claypool,Tyler Lockett,CeeDee Lamb,Travis Kelce,Josh Jacobs,Van Jefferson,Amon-Ra St. Brown,Eli Mitchell,Courtland Sutton,Brandon Aiyuk
BN1,Brandin Cooks,Chuba Hubbard,Javonte Williams,Amari Cooper,Tee Higgins,JaMycal Hasty,Odell Beckham Jr.,Jeff Wilson Jr.,Mark Ingram II,Darren Waller
BN2,T.J. Hockenson,Elijah Moore,Michael Gallup,Joe Burrow,DeVonta Smith,Dawson Knox,Justin Jackson,Jalen Guyton,Damien Harris,Jared Cook
BN3,Jakobi Meyers,Derek Carr,Jerry Jeudy,James Conner,Sony Michel,Cam Newton,Alexander Mattison,Mike Gesicki,Carson Wentz,Darrel Williams
BN4,Nyheim Hines,Devonta Freeman,Allen Lazard,Mike Evans,David Johnson,Cole Beasley,D'Onta Foreman,Julio Jones,Pat Freiermuth,Matthew Stafford
BN5,Dontrell Hilliard,Emmanuel Sanders,Baltimore,D'Ernest Johnson,Lamar Jackson,Jarvis Landry,Devin Singletary,AJ Dillon,Adam Thielen,Tony Pollard
BN6,New England,Rashod Bateman,Chicago,Dallas,A.J. Green,J.D. McKissic,Boston Scott,Kareem Hunt,Darnell Mooney,DeVante Parker
BN7,,Tim Patrick,,,Tyler Conklin,Tyler Boyd,Philadelphia,Kendrick Bourne,Mike Davis,
BN8,,,,,,,,,,
K,Daniel Carlson,Evan McPherson,Brandon McManus,Justin Tucker,Ryan Succop,Tyler Bass,Nick Folk,Matt Gay,Chris Boswell,Younghoe Koo
DEF,Kansas City,Arizona,San Francisco,Green Bay,Tampa Bay,Denver,Buffalo,Los Angeles,New Orleans,Seattle
