,mark,Hooey,Guy,Matt,Petey B,Pogochamp113,Nate,Patrick,Richard,Scott
QB,Josh Allen,Lamar Jackson,Matt Ryan,Deshaun Watson,Russell Wilson,Matthew Stafford,Dak Prescott,Drew Brees,Jared Goff,Patrick Mahomes
WR1,Michael Thomas,John Brown,Davante Adams,JuJu Smith-Schuster,Chris Godwin,DJ Chark Jr.,Julio Jones,DJ Moore,Adam Thielen,T.Y. Hilton
WR2,DeAndre Hopkins,Justin Jefferson,Allen Robinson II,Tyler Lockett,DK Metcalf,Marquise Brown,Will Fuller V,Tyreek Hill,Calvin Ridley,Kenny Golladay
RB1,Nick Chubb,Christian McCaffrey,Joe Mixon,Alvin Kamara,Austin Ekeler,Ezekiel Elliott,Aaron Jones,Mark Ingram II,Saquon Barkley,Todd Gurley II
RB2,David Johnson,Derrick Henry,Kenyan Drake,Josh Jacobs,Marlon Mack,Dalvin Cook,James Conner,Chris Carson,Clyde Edwards-Helaire,Chris Thompson
TE,Tyler Higbee,Rob Gronkowski,Hunter Henry,Darren Waller,George Kittle,Mark Andrews,Zach Ertz,Travis Kelce,Evan Engram,Jared Cook
W/R/T,Amari Cooper,Sammy Watkins,Robert Woods,Tarik Cohen,Stefon Diggs,Marvin Jones Jr.,Keenan Allen,A.J. Brown,Cam Akers,Kerryon Johnson
BN1,Kyler Murray,Leonard Fournette,Terry McLaurin,Miles Sanders,Jonathan Taylor,Le'Veon Bell,Mike Evans,Melvin Gordon III,D'Andre Swift,Odell Beckham Jr.
BN2,David Montgomery,Josh Gordon,Phillip Lindsay,Jordan Howard,Henry Ruggs III,Devin Singletary,CeeDee Lamb,Laviska Shenault Jr.,Carson Wentz,Bryce Love
BN3,Julian Edelman,Aaron Rodgers,Jarvis Landry,Brandin Cooks,Tom Brady,Mecole Hardman,Kareem Hunt,Raheem Mostert,Darius Slayton,DeVante Parker
BN4,Matt Breida,Adrian Peterson,Zack Moss,Tony Pollard,Jerry Jeudy,Joe Burrow,Michael Gallup,Cooper Kupp,Mike Gesicki,Diontae Johnson
BN5,James White,Noah Fant,Jamison Crowder,Latavius Murray,Antonio Gibson,A.J. Green,Tyler Boyd,Courtland Sutton,Boston Scott,Malcolm Brown
BN6,Sterling Shepard,Christian Kirk,James Robinson,Alexander Mattison,Justin Jackson,Ronald Jones II,Benny Snell Jr.,J.K. Dobbins,Emmanuel Sanders,Allen Lazard
BN7,Eric Ebron,Mike Williams,Jonnu Smith,Jack Doyle,Golden Tate,T.J. Hockenson,Sony Michel,Cam Newton,Los Angeles,J.D. McKissic
BN8,,,,,,,,,,
K,Younghoe Koo,Dan Bailey,Chris Boswell,Harrison Butker,Justin Tucker,Robbie Gould,Wil Lutz,Michael Badgley,Greg Zuerlein,Rodrigo Blankenship
DEF,Pittsburgh,Baltimore,New England,Chicago,Denver,Buffalo,Indianapolis,Minnesota,New Orleans,San Francisco
