,mark,Diesel,EB,Marshall,Pogochamp,Chris,Matt,Derek,Trevor,Guy
QB,Kyler Murray,Ryan Tannehill,Russell Wilson,Josh Allen,Tom Brady,Jalen Hurts,Aaron Rodgers,Matt Ryan,Patrick Mahomes,Dak Prescott
WR1,Robert Woods,Davante Adams,DK Metcalf,Amari Cooper,DJ Moore,DeAndre Hopkins,A.J. Brown,Tyreek Hill,Adam Thielen,Stefon Diggs
WR2,Calvin Ridley,Keenan Allen,CeeDee Lamb,Deebo Samuel,Tee Higgins,Jarvis Landry,Chris Godwin,Allen Robinson II,Terry McLaurin,Diontae Johnson
RB1,Clyde Edwards-Helaire,Najee Harris,David Montgomery,James Conner,Aaron Jones,Austin Ekeler,Derrick Henry,Antonio Gibson,Dalvin Cook,Ezekiel Elliott
RB2,Chris Carson,Nick Chubb,Jonathan Taylor,Leonard Fournette,Alvin Kamara,Christian McCaffrey,Miles Sanders,Kareem Hunt,Damien Harris,Nyheim Hines
TE,T.J. Hockenson,Jonnu Smith,Mark Andrews,Travis Kelce,Tyler Higbee,Logan Thomas,Noah Fant,Kyle Pitts,Rob Gronkowski,Darren Waller
W/R/T,Joe Mixon,Tyler Lockett,Mike Williams,George Kittle,JuJu Smith-Schuster,Melvin Gordon III,Cooper Kupp,Eli Mitchell,Justin Jefferson,Corey Davis
BN1,Jamaal Williams,Tyler Boyd,Mike Davis,Antonio Brown,Ja'Marr Chase,Kenny Golladay,Hunter Henry,Ty'Son Williams,Chase Edmonds,James Robinson
BN2,Julio Jones,Justin Fields,Javonte Williams,Mike Evans,Josh Jacobs,Myles Gaskin,D'Andre Swift,Saquon Barkley,Robert Tonyan,Robby Anderson
BN3,Alexander Mattison,Kenyan Drake,Justin Herbert,Le'Veon Bell,Lamar Jackson,Jameis Winston,Darrell Henderson Jr.,Michael Carter,Trevor Lawrence,Tony Pollard
BN4,Brandin Cooks,Gerald Everett,Michael Pittman Jr.,Chase Claypool,Brandon Aiyuk,DJ Chark Jr.,Odell Beckham Jr.,J.D. McKissic,Darnell Mooney,Trey Sermon
BN5,Laviska Shenault Jr.,Chuba Hubbard,Will Fuller V,Joe Burrow,Ronald Jones II,Gabriel Davis,AJ Dillon,Mecole Hardman,Courtland Sutton,Matthew Stafford
BN6,Marquise Brown,Sterling Shepard,Jason Sanders,Cordarrelle Patterson,DeVonta Smith,Dallas Goedert,Devin Singletary,A.J. Green,David Johnson,Marquez Callaway
BN7,Samaje Perine,James White,Baltimore,Larry Rountree III,Jaylen Waddle,Elijah Moore,Devonta Freeman,Tim Patrick,Phillip Lindsay,Latavius Murray
BN8,,,,,,,,,,
K,Rodrigo Blankenship,Harrison Butker,Younghoe Koo,Justin Tucker,Greg Zuerlein,Tyler Bass,Ryan Succop,Matt Gay,Mason Crosby,Matt Prater
DEF,Denver,Washington,Pittsburgh,San Francisco,Tampa Bay,New England,Buffalo,Los Angeles,New Orleans,Arizona
