,ShemmDevil,Burghart #1 Enemy,You're Not That Guy Pal,Bishop Sycamore HS,Keep Calm & Kerryon,Jameis Winston Apologists,Two Titans One Kupp,Show Us Your Pitts,Cornfield Jesus,Fuck.
QB,13.58,10.92,24.04,21.8,3.48,0.0,23.82,0.0,30.6,
WR1,14.3,0.0,32.8,2.4,1.3,0.0,10.9,0.0,0.0,
WR2,23.1,16.4,7.9,18.9,0.0,0.0,0.0,9.0,0.0,
RB1,7.0,4.6,0.0,9.0,15.0,18.2,0.0,9.4,0.0,
RB2,9.0,0.0,23.0,4.3,5.1,7.1,15.5,0.0,0.0,
TE,0.0,20.7,35.6,15.3,13.4,0.0,10.7,9.3,0.0,
W/R/T,1.9,5.1,11.0,41.1,0.0,0.0,0.0,19.9,3.2,
BN1,29.2,0.0,1.7,8.6,12.8,0.6,0.0,11.7,-0.1,4.6
BN2,0.0,0.0,12.1,2.8,0.0,7.8,0.0,0.0,0.0,6.2
BN3,11.3,19.8,0.0,0.0,3.7,24.34,0.0,10.5,6.98,17.8
BN4,7.8,3.4,6.2,0.0,0.0,7.5,16.6,24.4,7.7,16.2
BN5,9.9,0.0,9.0,12.78,4.3,0.0,0.0,0.0,0.0,13.5
BN6,3.0,1.5,16.0,0.3,10.4,0.0,4.0,9.3,0.0,9.8
BN7,,13.2,2.0,0.0,0.0,20.6,0.0,0.0,2.1,10.58
BN8,,,,,,,,,,1.2
K,0.0,13.0,6.0,6.0,0.0,7.0,0.0,0.0,15.0,
DEF,3.0,3.0,9.0,16.0,8.0,4.0,7.0,9.0,12.0,
TotalPoints,71.88000000000001,73.72,149.34,134.79999999999998,46.28,36.3,67.92,56.599999999999994,60.800000000000004,0.0
BN9,,,,,,,,,,0.0
BN10,,,,,,,,,,11.7
BN11,,,,,,,,,,5.0
BN12,,,,,,,,,,16.8
BN13,,,,,,,,,,0.9
BN14,,,,,,,,,,8.0
BN15,,,,,,,,,,0.0
