,mark,Hooey,Guy,Matt,Petey B,Pogochamp113,Nate,Patrick,Richard,Scott
QB,0.0,23.5,19.32,17.32,0.0,12.98,24.02,4.74,10.06,0.0
WR1,0.0,23.0,0.0,2.6,0.0,5.8,0.0,0.0,2.4,2.2
WR2,0.0,3.6,4.3,2.6,0.0,7.2,29.6,0.0,18.9,0.0
RB1,8.9,11.7,4.6,6.7,11.6,0.0,3.2,0.0,0.0,5.7
RB2,11.9,11.1,11.7,12.2,6.2,0.0,7.7,6.5,16.5,4.5
TE,0.0,8.0,2.3,0.0,0.0,2.1,2.9,0.0,5.0,3.4
W/R/T,0.0,0.0,0.0,3.6,8.1,9.4,0.0,9.5,11.8,14.5
BN1,0.0,0.0,0.0,0.0,5.2,0.0,15.8,0.0,0.0,0.0
BN2,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BN3,0.0,0.0,0.0,0.0,0.0,14.14,10.4,14.9,0.0,0.0
BN4,0.0,0.0,4.3,0.0,0.0,2.8,3.7,2.0,0.0,0.0
BN5,0.0,0.0,11.7,0.0,0.0,0.0,0.0,4.9,4.1,3.0
BN6,2.0,0.0,0.0,0.0,13.7,7.8,0.0,0.0,0.0,0.0
BN7,4.7,0.0,0.0,0.0,0.0,9.7,2.0,10.02,,0.0
BN8,,,,,,,,,,
K,0.0,1.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,3.0
DEF,18.0,16.0,7.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0
