,mark,Diesel,EB,Marshall,Pogochamp,Chris,Matt,Derek,Trevor,Guy
QB,21.58,15.02,31.64,11.56,32.64,16.68,12.34,8.1,10.44,15.06
WR1,17.4,22.4,7.8,11.3,7.6,11.3,20.5,16.42,8.6,14.5
WR2,11.6,10.2,4.3,5.7,8.9,4.1,9.2,7.5,17.0,1.7
RB1,28.0,16.8,34.0,19.6,5.3,11.2,8.8,12.9,10.3,9.6
RB2,20.8,4.4,11.1,40.3,20.4,15.2,4.0,1.3,15.2,12.6
TE,9.9,9.4,9.4,17.8,10.1,7.3,10.8,9.2,14.7,16.2
W/R/T,20.6,30.3,7.3,7.3,16.3,15.7,12.9,9.4,6.5,11.7
BN1,2.9,10.5,2.8,0.0,22.6,17.9,0.0,0.0,0.0,10.7
BN2,0.0,4.6,17.4,0.0,0.0,5.1,0.0,0.0,3.9,0.0
BN3,0.0,2.1,12.9,0.0,13.5,0.0,0.0,0.0,0.3,5.3
BN4,0.0,0.0,0.0,9.38,13.8,17.5,0.0,6.3,20.6,19.88
BN5,0.0,16.0,0.0,0.0,18.7,4.8,0.0,0.0,0.0,6.3
BN6,5.7,10.2,10.0,20.1,5.7,1.8,0.0,0.0,24.18,7.1
BN7,0.6,9.6,-1.0,7.0,0.0,14.6,1.3,0.0,11.4,0.0
BN8,,,,,,,,,,
K,10.0,9.0,9.0,10.0,0.0,7.0,7.0,12.0,1.0,6.0
DEF,20.0,12.0,7.0,3.0,5.0,17.0,8.0,5.0,18.0,2.0
